timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-05T14:04:52Z,23574.0,23574.666666666668,6015,1554.78346,1554.78346,0.040050000000064756,3.302548415126382e-05,-0.0017099999998164972
2025-09-05T14:04:52Z,23574.0,23574.777777777777,6016,1554.78312,1554.78312,0.03971000000001368,3.27451179936334e-05,-0.0026100000005826463
2025-09-05T14:04:53Z,23574.0,23574.88888888889,6017,1554.78288,1554.78288,0.0394699999999375,3.254721247056707e-05,-0.002295000000345021
2025-09-05T14:04:53Z,23575.0,23575.0,6018,1554.78261,1554.78261,0.03919999999993706,3.232456875718777e-05,-0.0018878947362077902
2025-09-05T14:04:53Z,23575.0,23575.1,6019,1554.78247,1554.78247,0.039060000000063155,3.220912386887303e-05,-0.0006999999993924644
2025-09-05T14:04:53Z,23575.0,23575.2,6020,1554.78217,1554.78247,0.039060000000063155,3.220912386887303e-05,0.0
2025-09-05T14:04:53Z,23575.0,23575.3,6021,1554.78205,1554.78247,0.039060000000063155,3.220912386887303e-05,0.006599999998988637
2025-09-05T14:04:53Z,23575.0,23575.4,6022,1554.78379,1554.78379,0.04037999999991371,3.3297604245269085e-05,1.6037500000513383
2025-09-05T14:04:53Z,23575.0,23575.5,6023,1555.10322,1555.10322,0.3598099999999249,0.0002967016092994892,2.934750000043283
2025-09-05T14:04:53Z,23575.0,23575.6,6024,1555.37074,1555.37074,0.627330000000029,0.0005173002989408188,2.2369000000081396
2025-09-05T14:04:53Z,23575.0,23575.7,6025,1555.5506,1555.5506,0.8071899999999914,0.0006656139963050001,1.6282999999877346
2025-09-05T14:04:54Z,23575.0,23575.8,6026,1555.6964,1555.6964,0.9529899999999998,0.0007858416015296383,1.5555499999901494
2025-09-05T14:04:54Z,23575.0,23575.9,6027,1555.86171,1555.86171,1.1182999999998628,0.00092215727656165,1.5800999999914982
2025-09-05T14:04:54Z,23576.0,23576.0,6028,1556.01242,1556.01242,1.2690099999999802,0.0010464336989444915,1.6539000000240893
2025-09-05T14:04:54Z,23576.0,23576.1,6029,1556.19249,1556.19249,1.4490799999998671,0.0011949205636412386,1.6895999999975944
2025-09-05T14:04:54Z,23576.0,23576.2,6030,1556.35034,1556.35034,1.6069299999999203,0.0013250846753333815,1.3381999999865322
2025-09-05T14:04:54Z,23576.0,23576.3,6031,1556.46013,1556.46013,1.7167199999998957,0.0014156182060440076,1.189299999992123
2025-09-05T14:04:54Z,23576.0,23576.4,6032,1556.5882,1556.5882,1.8447899999998754,0.001521225540756738,1.4540500000008407
2025-09-05T14:04:54Z,23576.0,23576.5,6033,1556.75094,1556.75094,2.0075299999998606,0.0016554219774800212,1.3488500000201658
2025-09-05T14:04:54Z,23576.0,23576.6,6034,1556.85797,1556.85797,2.114559999999983,0.0017436795946762285,0.9688500000005966
2025-09-05T14:04:54Z,23576.0,23576.7,6035,1556.94471,1556.94471,2.2012999999999465,0.0018152059491150494,0.9073499999981038
2025-09-05T14:04:55Z,23576.0,23576.8,6036,1557.03944,1557.03944,2.2960299999999734,0.001893320908257248,0.9932999999948038
2025-09-05T14:04:55Z,23576.0,23576.9,6037,1557.14337,1557.14337,2.3999599999999646,0.0019790222457812183,0.934749999992917
2025-09-05T14:04:55Z,23577.0,23577.0,6038,1557.22639,1557.22639,2.4829799999999977,0.0020474810646135427,0.7950000000120969
2025-09-05T14:04:55Z,23577.0,23577.1,6039,1557.30237,1557.30237,2.55896000000007,0.0021101346547711293,0.7978999999957388
2025-09-05T14:04:55Z,23577.0,23577.2,6040,1557.38597,1557.38597,2.642560000000003,0.002179071745283963,0.745549999993182
2025-09-05T14:04:55Z,23577.0,23577.3,6041,1557.45148,1557.45148,2.708069999999907,0.0022330917070003827,0.6342999999977081
2025-09-05T14:04:55Z,23577.0,23577.4,6042,1557.51283,1557.51283,2.7694199999998546,0.0022836813063181116,0.6343999999985943
2025-09-05T14:04:55Z,23577.0,23577.5,6043,1557.57836,1557.57836,2.8349499999999352,0.0023377177601615943,0.5872000000096218
2025-09-05T14:04:55Z,23577.0,23577.6,6044,1557.63027,1557.63027,2.8868600000000697,0.0023805230755746722,0.5128999999983055
2025-09-05T14:04:55Z,23577.0,23577.7,6045,1557.68094,1557.68094,2.9375299999999243,0.0024223058791186677,0.4289999999947902
2025-09-05T14:04:56Z,23577.0,23577.8,6046,1557.71607,1557.71607,2.9726599999999053,0.0024512743000482907,0.3901999999976695
2025-09-05T14:04:56Z,23577.0,23577.9,6047,1557.75898,1557.75898,3.015570000000025,0.0024866581583487253,0.3996999999978694
2025-09-05T14:04:56Z,23578.0,23578.0,6048,1557.79601,1557.79601,3.052599999999984,0.002517193331335441,0.34240000000452575
2025-09-05T14:04:56Z,23578.0,23578.1,6049,1557.82746,1557.82746,3.084049999999934,0.0025431272009123172,0.26910000000110657
2025-09-05T14:04:56Z,23578.0,23578.2,6050,1557.84983,1557.84983,3.106420000000071,0.0025615736448690494,0.19294999999874385
2025-09-05T14:04:56Z,23578.0,23578.3,6051,1557.86605,1557.86605,3.1226400000000467,0.002574948759798683,0.16689999999848126
2025-09-05T14:04:56Z,23578.0,23578.4,6052,1557.88321,1557.88321,3.139799999999923,0.0025890990046933317,0.17799999999924054
2025-09-05T14:04:56Z,23578.0,23578.5,6053,1557.90165,1557.90165,3.158239999999978,0.0026043047457108134,0.15220000000220857
2025-09-05T14:04:56Z,23578.0,23578.6,6054,1557.91365,1557.91365,3.1702399999999216,0.002614200021860942,0.114200000000233
2025-09-05T14:04:57Z,23578.0,23578.7,6055,1557.92449,1557.92449,3.1810800000000654,0.0026231387546500526,0.0931499999992571
2025-09-05T14:04:57Z,23578.0,23578.8,6056,1557.93228,1557.93228,3.1888699999999517,0.0026295624380841143,0.0660999999992864
2025-09-05T14:04:57Z,23578.0,23578.9,6057,1557.93771,1557.93771,3.1942999999998847,0.0026340400505420135,0.05044999999963018
2025-09-05T14:04:57Z,23579.0,23579.0,6058,1557.94237,1557.94237,3.1989599999999427,0.002637882716113713,0.02330000000062782
