timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-11T13:08:09Z,18682.0,18682.8,4340,1529.52762,1529.52762,0.06094000000007327,5.1081992272168404e-05,-0.003000000000303815
2025-09-11T13:08:09Z,18682.0,18682.9,4341,1529.52713,1529.52713,0.06044999999994616,5.067125751306395e-05,-0.004800000000365623
2025-09-11T13:08:09Z,18683.0,18683.0,4342,1529.52666,1529.52666,0.059979999999995925,5.027728743814849e-05,-0.004708888889013024
2025-09-11T13:08:10Z,18683.0,18683.125,4343,1529.52607,1529.52607,0.05938999999989392,4.978272925886142e-05,-0.0031600000002072193
2025-09-11T13:08:10Z,18683.0,18683.25,4344,1529.52587,1529.52587,0.05918999999994412,4.9615082418496194e-05,-0.004239999999299471
2025-09-11T13:08:10Z,18683.0,18683.375,4345,1529.52501,1529.52501,0.05833000000006905,4.889420100484949e-05,-0.0045199999995020335
2025-09-11T13:08:10Z,18683.0,18683.5,4346,1529.52474,1529.52474,0.05806000000006861,4.8667877770299256e-05,-0.0023600000004080357
2025-09-11T13:08:10Z,18683.0,18683.625,4347,1529.52442,1529.52442,0.05773999999996704,4.8399642825562415e-05,-0.00304000000051019
2025-09-11T13:08:10Z,18683.0,18683.75,4348,1529.52398,1529.52398,0.057299999999941065,4.803081977664456e-05,-0.0024000000003070454
2025-09-11T13:08:10Z,18683.0,18683.875,4349,1529.52382,1529.52382,0.05713999999989028,4.7896702304276146e-05,-0.0017600000001039007
2025-09-11T13:08:11Z,18684.0,18684.0,4350,1529.52354,1529.52354,0.05685999999991509,4.766199672772671e-05,-0.0025599999999030842
2025-09-11T13:08:11Z,18684.0,18684.125,4351,1529.52318,1529.52318,0.05649999999991451,4.736023241499307e-05,-0.002759999999398133
2025-09-11T13:08:11Z,18684.0,18684.25,4352,1529.52285,1529.52285,0.056170000000065556,4.7083615128447626e-05,-0.002119999999194988
2025-09-11T13:08:11Z,18684.0,18684.375,4353,1529.52265,1529.52265,0.05597000000011576,4.69159682880824e-05,-0.0024000000003070454
2025-09-11T13:08:11Z,18684.0,18684.5,4354,1529.52225,1529.52225,0.055569999999988795,4.658067460716135e-05,-0.0017600000001039007
2025-09-11T13:08:11Z,18684.0,18684.625,4355,1529.522,1529.52221,0.055530000000089785,4.654714523916455e-05,-0.0005199999995966209
2025-09-11T13:08:11Z,18684.0,18684.75,4356,1529.52212,1529.52212,0.05544000000008964,4.6471704160981134e-05,-0.000840000000607688
2025-09-11T13:08:11Z,18684.0,18684.875,4357,1529.52221,1529.522,0.05531999999993786,4.637111605660953e-05,-0.002320000000509026
2025-09-11T13:08:11Z,18685.0,18685.0,4358,1529.52154,1529.52154,0.05485999999996238,4.598552832369327e-05,-0.003018235294041549
2025-09-11T13:08:12Z,18685.0,18685.11111111111,4359,1529.52127,1529.52127,0.05458999999996195,4.5759205089143036e-05,-0.0015750000001413522
2025-09-11T13:08:12Z,18685.0,18685.222222222223,4360,1529.52119,1529.52119,0.054509999999936554,4.569214635295883e-05,-0.0010799999993294507
2025-09-11T13:08:12Z,18685.0,18685.333333333332,4361,1529.52103,1529.52103,0.05435000000011314,4.5558028880781e-05,-0.0013049999997767625
2025-09-11T13:08:12Z,18685.0,18685.444444444445,4362,1529.52074,1529.5209,0.05421999999998661,4.544905843441019e-05,-0.0013050000007999718
2025-09-11T13:08:12Z,18685.0,18685.555555555555,4363,1529.5209,1529.52074,0.054059999999935826,4.531494096204177e-05,-0.0014399999994312573
2025-09-11T13:08:12Z,18685.0,18685.666666666668,4364,1529.52044,1529.52058,0.053900000000112414,4.5180823489863943e-05,-0.00134999999965571
2025-09-11T13:08:12Z,18685.0,18685.777777777777,4365,1529.52058,1529.52044,0.05376000000001113,4.5063470701493935e-05,-0.001530000000218218
2025-09-11T13:08:12Z,18685.0,18685.88888888889,4366,1529.52024,1529.52024,0.053560000000061336,4.489582386112871e-05,-0.0015300000002182457
2025-09-11T13:08:12Z,18686.0,18686.0,4367,1529.5201,1529.5201,0.053419999999960055,4.477847107275869e-05,-0.0010705263162376077
