Timestamp	Time [s]	WL 1[nm]	
2025-08-11T13:09:45Z	3472.00000	1555.04853	1538.00012	1524.95037
2025-08-11T13:09:45Z	3472.00000	1555.04841	1538.00085	1524.95061
2025-08-11T13:09:45Z	3472.00000	1555.04715	1537.99923	1524.94951
2025-08-11T13:09:45Z	3473.00000	1555.04744	1537.99910	1524.94877
2025-08-11T13:09:45Z	3473.00000	1555.04765	1537.99926	1524.94952
2025-08-11T13:09:45Z	3473.00000	1555.04770	1537.99916	1524.94984
2025-08-11T13:09:45Z	3473.00000	1555.04722	1537.99824	1524.94959
2025-08-11T13:09:45Z	3473.00000	1555.04702	1537.99785	1524.94934
2025-08-11T13:09:46Z	3473.00000	1555.04702	1537.99764	1524.94949
2025-08-11T13:09:46Z	3473.00000	1555.04679	1537.99745	1524.94928
2025-08-11T13:09:46Z	3473.00000	1555.04663	1537.99675	1524.94924
2025-08-11T13:09:46Z	3473.00000	1555.04629	1537.99620	1524.94924
2025-08-11T13:09:46Z	3474.00000	1555.04636	1537.99647	1524.94944
2025-08-11T13:09:46Z	3474.00000	1555.04604	1537.99595	1524.94867
2025-08-11T13:09:46Z	3474.00000	1555.04619	1537.99577	1524.94890
2025-08-11T13:09:46Z	3474.00000	1555.04550	1537.99745	1524.94905
2025-08-11T13:09:46Z	3474.00000	1555.04548	1537.99558	1524.94877
2025-08-11T13:09:47Z	3474.00000	1555.04588	1537.99591	1524.94894
2025-08-11T13:09:47Z	3474.00000	1555.04542	1537.99520	1524.94864
2025-08-11T13:09:47Z	3474.00000	1555.04534	1537.99597	1524.94839
2025-08-11T13:09:47Z	3474.00000	1555.04554	1537.99560	1524.94860
2025-08-11T13:09:47Z	3474.00000	1555.04543	1537.99527	1524.94900
2025-08-11T13:09:47Z	3475.00000	1555.04515	1537.99487	1524.94906
2025-08-11T13:09:47Z	3475.00000	1555.04423	1537.99500	1524.94861
2025-08-11T13:09:47Z	3475.00000	1555.04492	1537.99502	1524.94875
2025-08-11T13:09:47Z	3475.00000	1555.04474	1537.99431	1524.94878
2025-08-11T13:09:47Z	3475.00000	1555.04449	1537.99416	1524.94861
2025-08-11T13:09:48Z	3475.00000	1555.04443	1537.99366	1524.94810
2025-08-11T13:09:48Z	3475.00000	1555.04417	1537.99466	1524.94832
2025-08-11T13:09:48Z	3475.00000	1555.04443	1537.99458	1524.94856
2025-08-11T13:09:48Z	3475.00000	1555.04459	1537.99446	1524.94849
2025-08-11T13:09:48Z	3475.00000	1555.04400	1537.99384	1524.94804
2025-08-11T13:09:48Z	3476.00000	1555.04386	1537.99352	1524.94801
2025-08-11T13:09:48Z	3476.00000	1555.04424	1537.99354	1524.94827
2025-08-11T13:09:48Z	3476.00000	1555.04368	1537.99309	1524.94772
2025-08-11T13:09:48Z	3476.00000	1555.04398	1537.99456	1524.94829
2025-08-11T13:09:48Z	3476.00000	1555.04386	1537.99388	1524.94821
2025-08-11T13:09:49Z	3476.00000	1555.04386	1537.99358	1524.94796
2025-08-11T13:09:49Z	3476.00000	1555.04340	1537.99313	1524.94832
2025-08-11T13:09:49Z	3476.00000	1555.04349	1537.99367	1524.94788
2025-08-11T13:09:49Z	3476.00000	1555.04258	1537.99202	1524.94764
2025-08-11T13:09:49Z	3477.00000	1555.04318	1537.99197	1524.94821
2025-08-11T13:09:49Z	3477.00000	1555.04255	1537.99117	1524.94727
2025-08-11T13:09:49Z	3477.00000	1555.04332	1537.99322	1524.94820
2025-08-11T13:09:49Z	3477.00000	1555.17277	1538.14803	1524.97092
2025-08-11T13:09:49Z	3477.00000	1555.34500	1538.35459	1525.01516
2025-08-11T13:09:50Z	3477.00000	1555.50332	1538.54086	1525.04779
2025-08-11T13:09:50Z	3477.00000	1555.66973	1538.73787	1525.07977
2025-08-11T13:09:50Z	3477.00000	1555.77740	1538.86738	1525.10157
2025-08-11T13:09:50Z	3477.00000	1555.91321	1539.03028	1525.12799
2025-08-11T13:09:50Z	3477.00000	1556.02138	1539.15862	1525.15003
2025-08-11T13:09:50Z	3478.00000	1556.13681	1539.29853	1525.17472
2025-08-11T13:09:50Z	3478.00000	1556.23126	1539.40944	1525.19663
2025-08-11T13:09:50Z	3478.00000	1556.33337	1539.52820	1525.22194
2025-08-11T13:09:50Z	3478.00000	1556.41061	1539.62016	1525.24136
2025-08-11T13:09:50Z	3478.00000	1556.48042	1539.70075	1525.25983
2025-08-11T13:09:51Z	3478.00000	1556.54335	1539.77461	1525.27693
2025-08-11T13:09:51Z	3478.00000	1556.59998	1539.84374	1525.29174
2025-08-11T13:09:51Z	3478.00000	1556.66163	1539.91559	1525.30561
2025-08-11T13:09:51Z	3478.00000	1556.71314	1539.97774	1525.31736
2025-08-11T13:09:51Z	3478.00000	1556.74630	1540.01732	1525.32332
2025-08-11T13:09:51Z	3479.00000	1556.78351	1540.06153	1525.33236
2025-08-11T13:09:51Z	3479.00000	1556.82101	1540.10565	1525.34032
2025-08-11T13:09:51Z	3479.00000	1556.84800	1540.13735	1525.34611
2025-08-11T13:09:51Z	3479.00000	1556.87552	1540.17085	1525.35191
2025-08-11T13:09:51Z	3479.00000	1556.89216	1540.19056	1525.35616
2025-08-11T13:09:52Z	3479.00000	1556.91250	1540.21558	1525.36033
2025-08-11T13:09:52Z	3479.00000	1556.92661	1540.23298	1525.36245
2025-08-11T13:09:52Z	3479.00000	1556.94048	1540.24890	1525.36666
2025-08-11T13:09:52Z	3479.00000	1556.95326	1540.26316	1525.36928
2025-08-11T13:09:52Z	3479.00000	1556.96309	1540.27589	1525.37154
2025-08-11T13:09:52Z	3480.00000	1556.97341	1540.28742	1525.37348
2025-08-11T13:09:52Z	3480.00000	1556.98076	1540.29739	1525.37489
2025-08-11T13:09:52Z	3480.00000	1556.98623	1540.30311	1525.37599
2025-08-11T13:09:52Z	3480.00000	1556.99101	1540.30872	1525.37640
2025-08-11T13:09:52Z	3480.00000	1556.99655	1540.31537	1525.37786
2025-08-11T13:09:53Z	3480.00000	1556.99970	1540.32201	1525.37855
2025-08-11T13:09:53Z	3480.00000	1557.00379	1540.32485	1525.37935
2025-08-11T13:09:53Z	3480.00000	1557.00662	1540.32820	1525.37926
2025-08-11T13:09:53Z	3480.00000	1557.00881	1540.33076	1525.37987
2025-08-11T13:09:53Z	3480.00000	1557.01084	1540.33320	1525.38086
2025-08-11T13:09:53Z	3481.00000	1557.01267	1540.33694	1525.38097
2025-08-11T13:09:53Z	3481.00000	1557.01449	1540.34017	1525.38195
2025-08-11T13:09:53Z	3481.00000	1557.01568	1540.34164	1525.38214
2025-08-11T13:09:53Z	3481.00000	1556.05458	1539.21096	1525.15039
2025-08-11T13:09:53Z	3481.00000	1555.67589	1538.73900	1525.09010
2025-08-11T13:09:54Z	3481.00000	1555.48124	1538.51378	1525.05671
2025-08-11T13:09:54Z	3481.00000	1555.32432	1538.32946	1525.01820
2025-08-11T13:09:54Z	3481.00000	1555.19983	1538.18527	1524.98737
2025-08-11T13:09:54Z	3481.00000	1555.12061	1538.08914	1524.96793
2025-08-11T13:09:54Z	3481.00000	1555.06073	1538.01678	1524.95044
2025-08-11T13:09:54Z	3482.00000	1555.05994	1538.01646	1524.95153
2025-08-11T13:09:54Z	3482.00000	1555.06009	1538.01544	1524.95227
2025-08-11T13:09:54Z	3482.00000	1555.05951	1538.01414	1524.95219
2025-08-11T13:09:54Z	3482.00000	1555.05863	1538.01316	1524.95224
2025-08-11T13:09:54Z	3482.00000	1555.05745	1538.01223	1524.95164
2025-08-11T13:09:55Z	3482.00000	1555.05690	1538.01120	1524.95205
2025-08-11T13:09:55Z	3482.00000	1555.05586	1538.01074	1524.95163
2025-08-11T13:09:55Z	3482.00000	1555.05523	1538.01025	1524.95137
2025-08-11T13:09:55Z	3482.00000	1555.05449	1538.00947	1524.95132
2025-08-11T13:09:55Z	3482.00000	1555.05427	1538.00901	1524.95108
2025-08-11T13:09:55Z	3483.00000	1555.05340	1538.00818	1524.95107
2025-08-11T13:09:55Z	3483.00000	1555.05277	1538.00766	1524.95082
2025-08-11T13:09:55Z	3483.00000	1555.05225	1538.00697	1524.95100
2025-08-11T13:09:55Z	3483.00000	1555.05197	1538.00671	1524.95086
2025-08-11T13:09:55Z	3483.00000	1555.05176	1538.00585	1524.95083
2025-08-11T13:09:56Z	3483.00000	1555.05105	1538.00632	1524.95078
2025-08-11T13:09:56Z	3483.00000	1555.05018	1538.00490	1524.95137
2025-08-11T13:09:56Z	3483.00000	1555.05007	1538.00431	1524.95038
2025-08-11T13:09:56Z	3483.00000	1555.05169	1538.00647	1524.95330
2025-08-11T13:09:56Z	3483.00000	1555.05117	1538.00382	1524.95210
2025-08-11T13:09:56Z	3484.00000	1555.05011	1538.00283	1524.95044
2025-08-11T13:09:56Z	3484.00000	1555.05076	1538.00244	1524.95032
2025-08-11T13:09:56Z	3484.00000	1555.04942	1538.00228	1524.95027
2025-08-11T13:09:56Z	3484.00000	1555.04945	1538.00176	1524.95034
2025-08-11T13:09:56Z	3484.00000	1555.04870	1538.00195	1524.95027
2025-08-11T13:09:57Z	3484.00000	1555.04878	1538.00149	1524.94973
2025-08-11T13:09:57Z	3484.00000	1555.04877	1538.00150	1524.94975
2025-08-11T13:09:57Z	3484.00000	1555.04864	1538.00146	1524.95019
2025-08-11T13:09:57Z	3484.00000	1555.04842	1538.00060	1524.94963
2025-08-11T13:09:57Z	3484.00000	1555.04807	1537.99982	1524.94960
2025-08-11T13:09:57Z	3485.00000	1555.04798	1538.00081	1524.94960
2025-08-11T13:09:57Z	3485.00000	1555.04818	1538.00007	1524.95001
2025-08-11T13:09:57Z	3485.00000	1555.04801	1538.00009	1524.94987
2025-08-11T13:09:57Z	3485.00000	1555.04819	1538.00050	1524.94961
2025-08-11T13:09:58Z	3485.00000	1555.04780	1537.99927	1524.94951
2025-08-11T13:09:58Z	3485.00000	1555.04786	1538.00018	1524.94933
2025-08-11T13:09:58Z	3485.00000	1555.04773	1537.99922	1524.94960
2025-08-11T13:09:58Z	3485.00000	1555.04740	1537.99880	1524.94973
2025-08-11T13:09:58Z	3485.00000	1555.04717	1537.99955	1524.94942
2025-08-11T13:09:58Z	3485.00000	1555.04740	1537.99985	1524.94952
2025-08-11T13:09:58Z	3486.00000	1555.04736	1537.99855	1524.94965
2025-08-11T13:09:58Z	3486.00000	1555.04700	1537.99912	1524.94944
2025-08-11T13:09:58Z	3486.00000	1555.04705	1537.99768	1524.94928
2025-08-11T13:09:58Z	3486.00000	1555.04653	1537.99847	1524.94821
2025-08-11T13:09:58Z	3486.00000	1555.04701	1537.99893	1524.94924
2025-08-11T13:09:59Z	3486.00000	1555.04658	1537.99941	1524.94907
2025-08-11T13:09:59Z	3486.00000	1555.04648	1537.99835	1524.94910
2025-08-11T13:09:59Z	3486.00000	1555.04646	1537.99808	1524.94908
2025-08-11T13:09:59Z	3486.00000	1555.04565	1537.99727	1524.94809
2025-08-11T13:09:59Z	3486.00000	1555.04557	1537.99720	1524.94845
2025-08-11T13:09:59Z	3487.00000	1555.04580	1537.99773	1524.94878
2025-08-11T13:09:59Z	3487.00000	1555.04584	1537.99668	1524.94898
2025-08-11T13:09:59Z	3487.00000	1555.04633	1537.99698	1524.94859
2025-08-11T13:09:59Z	3487.00000	1555.04538	1537.99658	1524.94885
2025-08-11T13:10:00Z	3487.00000	1555.24733	1538.24497	1524.99847
2025-08-11T13:10:00Z	3487.00000	1555.42730	1538.45314	1525.03158
2025-08-11T13:10:00Z	3487.00000	1555.57133	1538.62152	1525.05960
2025-08-11T13:10:00Z	3487.00000	1555.68922	1538.76253	1525.08344
2025-08-11T13:10:00Z	3487.00000	1555.79607	1538.88968	1525.10531
2025-08-11T13:10:00Z	3487.00000	1555.91177	1539.02931	1525.12790
2025-08-11T13:10:00Z	3488.00000	1556.03705	1539.17812	1525.15402
2025-08-11T13:10:00Z	3488.00000	1556.13582	1539.29796	1525.17470
2025-08-11T13:10:00Z	3488.00000	1556.22755	1539.40510	1525.19564
2025-08-11T13:10:00Z	3488.00000	1556.32995	1539.52456	1525.22089
2025-08-11T13:10:00Z	3488.00000	1556.42207	1539.63064	1525.24463
2025-08-11T13:10:01Z	3488.00000	1556.50165	1539.72599	1525.26598
2025-08-11T13:10:01Z	3488.00000	1556.56595	1539.80196	1525.28276
2025-08-11T13:10:01Z	3488.00000	1556.62179	1539.87088	1525.29684
2025-08-11T13:10:01Z	3488.00000	1556.67941	1539.93663	1525.30924
2025-08-11T13:10:01Z	3488.00000	1556.73001	1539.99767	1525.32089
2025-08-11T13:10:01Z	3489.00000	1556.77034	1540.04597	1525.32920
2025-08-11T13:10:01Z	3489.00000	1556.79938	1540.07856	1525.33556
2025-08-11T13:10:01Z	3489.00000	1556.82989	1540.11523	1525.34270
2025-08-11T13:10:01Z	3489.00000	1556.86103	1540.15203	1525.34890
2025-08-11T13:10:01Z	3489.00000	1556.88050	1540.17658	1525.35302
2025-08-11T13:10:02Z	3489.00000	1556.89990	1540.20152	1525.35880
2025-08-11T13:10:02Z	3489.00000	1556.92686	1540.23295	1525.36291
2025-08-11T13:10:02Z	3489.00000	1556.93986	1540.24877	1525.36651
2025-08-11T13:10:02Z	3489.00000	1556.95188	1540.26053	1525.36913
2025-08-11T13:10:02Z	3489.00000	1556.96062	1540.27471	1525.37073
2025-08-11T13:10:02Z	3490.00000	1556.97106	1540.28579	1525.37237
2025-08-11T13:10:02Z	3490.00000	1556.97982	1540.29564	1525.37472
2025-08-11T13:10:02Z	3490.00000	1556.98839	1540.30605	1525.37648
2025-08-11T13:10:02Z	3490.00000	1556.99292	1540.31231	1525.37752
2025-08-11T13:10:02Z	3490.00000	1556.99854	1540.31784	1525.37883
2025-08-11T13:10:03Z	3490.00000	1557.00299	1540.32440	1525.37953
2025-08-11T13:10:03Z	3490.00000	1557.00694	1540.32845	1525.37926
2025-08-11T13:10:03Z	3490.00000	1557.00984	1540.33212	1525.37975
2025-08-11T13:10:03Z	3490.00000	1557.01202	1540.33486	1525.38179
2025-08-11T13:10:03Z	3490.00000	1557.01420	1540.34004	1525.38171
2025-08-11T13:10:03Z	3491.00000	1557.01687	1540.34202	1525.38181
2025-08-11T13:10:03Z	3491.00000	1557.01913	1540.34552	1525.38168
2025-08-11T13:10:03Z	3491.00000	1557.02044	1540.34610	1525.38230
2025-08-11T13:10:03Z	3491.00000	1555.90367	1539.01925	1525.14057
2025-08-11T13:10:03Z	3491.00000	1555.62768	1538.68399	1525.07431
