Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:57:48Z	154.00000	1556.95467	1542.03947	1526.20590
2025-09-09T12:57:48Z	154.00000	1556.95838	1542.04602	1526.20864
2025-09-09T12:57:48Z	154.00000	1555.43963	1539.38428	1525.04273
2025-09-09T12:57:48Z	154.00000	1555.14350	1538.85807	1524.81576
2025-09-09T12:57:48Z	154.00000	1554.96106	1538.54340	1524.67187
2025-09-09T12:57:48Z	154.00000	1554.67211	1538.02201	1524.44993
2025-09-09T12:57:48Z	154.00000	1554.52781	1537.74669	1524.32538
2025-09-09T12:57:48Z	155.00000	1554.38148	1537.49389	1524.21162
2025-09-09T12:57:49Z	155.00000	1554.24580	1537.25126	1524.10924
2025-09-09T12:57:49Z	155.00000	1554.21105	1537.18945	1524.08122
2025-09-09T12:57:49Z	155.00000	1554.20804	1537.18281	1524.07939
2025-09-09T12:57:49Z	155.00000	1554.20413	1537.17457	1524.07664
2025-09-09T12:57:49Z	155.00000	1554.20029	1537.16667	1524.07412
2025-09-09T12:57:49Z	155.00000	1554.19878	1537.16372	1524.07311
2025-09-09T12:57:49Z	156.00000	1554.19592	1537.15811	1524.07113
2025-09-09T12:57:50Z	156.00000	1554.19482	1537.15586	1524.07037
2025-09-09T12:57:50Z	156.00000	1554.19356	1537.15339	1524.06956
2025-09-09T12:57:50Z	156.00000	1554.19237	1537.15118	1524.06870
2025-09-09T12:57:50Z	156.00000	1554.19136	1537.14916	1524.06797
2025-09-09T12:57:50Z	156.00000	1554.19049	1537.14753	1524.06740
2025-09-09T12:57:50Z	156.00000	1554.18978	1537.14624	1524.06694
2025-09-09T12:57:50Z	156.00000	1554.18830	1537.14341	1524.06585
2025-09-09T12:57:50Z	156.00000	1554.18752	1537.14193	1524.06530
2025-09-09T12:57:51Z	157.00000	1554.18617	1537.13942	1524.06437
2025-09-09T12:57:51Z	157.00000	1554.18544	1537.13802	1524.06388
2025-09-09T12:57:51Z	157.00000	1554.18474	1537.13670	1524.06337
2025-09-09T12:57:51Z	157.00000	1554.18418	1537.13572	1524.06299
2025-09-09T12:57:51Z	157.00000	1554.18355	1537.13465	1524.06260
2025-09-09T12:57:51Z	157.00000	1554.18313	1537.13381	1524.06224
2025-09-09T12:57:51Z	157.00000	1554.18226	1537.13223	1524.06172
2025-09-09T12:57:51Z	158.00000	1554.18128	1537.13050	1524.06100
2025-09-09T12:57:52Z	158.00000	1554.18084	1537.12969	1524.06072
